RunAccession,SampleAccession,DatasetAccession,LibraryStrategy,DatasetReadable,DatasetName,DatasetAbbrev,Author,PairedEnd,Source,CellLine,Producer,ProductType,Glutamine,GlutamineConcentration,CulturePhase,Host,CellLineSource,CellLineExact,Temperature,SelectionMarker,Growth,ProcessType,Productivity,Stability ,FullSampleName
SRR7779184,SRS3734930,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,EMCV_V+poly
SRR7779185,SRS3734948,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,EMCV_V+ifn
SRR7779186,SRS3734931,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,EMCV_m
SRR7779187,SRS3734932,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,EMCV_poly
SRR7779188,SRS3734933,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,EMCV_ifn
SRR7779189,SRS3734934,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,EMCV_V+m
SRR7779190,SRS3734935,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,EMCV_V+poly
SRR7779191,SRS3734936,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,EMCV_V+ifn
SRR7779192,SRS3734937,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,Reo_m
SRR7779193,SRS3734938,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,Reo_poly
SRR7779194,SRS3734939,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,Reo_ifn
SRR7779195,SRS3734940,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,Reo_V+m
SRR7779196,SRS3734941,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,Reo_V+poly
SRR7779197,SRS3734942,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,Reo_V+ifn
SRR7779198,SRS3734943,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,Reo_m
SRR7779199,SRS3734949,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,Reo_poly
SRR7779200,SRS3734944,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,Reo_ifn
SRR7779201,SRS3734945,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,Reo_V+m
SRR7779202,SRS3734946,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,Reo_V+poly
SRR7779203,SRS3734947,SRP159459,PolyA,SRP159459,Chiang,C,Chiang,TRUE,SRA,CHO-K1,FALSE,NA,TRUE,2,NA,FALSE,Non-Commercial,ATCC,37,NA,NA,Plate,NA,NA,Reo_V+ifn
SRR10572664,SRS5751706,SRP234382,rRNA,SRP234382,Tzani,T,Tzani,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,,,31,NA,Low,Batch,NA,NA,Tshift
SRR10572663,SRS5751707,SRP234382,rRNA,SRP234382,Tzani,T,Tzani,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,,,31,NA,Low,Batch,NA,NA,Tshift
SRR10572662,SRS5751708,SRP234382,rRNA,SRP234382,Tzani,T,Tzani,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,,,31,NA,Low,Batch,NA,NA,Tshift
SRR10572661,SRS5751709,SRP234382,rRNA,SRP234382,Tzani,T,Tzani,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,,,31,NA,Low,Batch,NA,NA,Tshift
SRR10572660,SRS5751710,SRP234382,rRNA,SRP234382,Tzani,T,Tzani,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,,,37,NA,High,Batch,NA,NA,37C
SRR10572659,SRS5751711,SRP234382,rRNA,SRP234382,Tzani,T,Tzani,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,,,37,NA,High,Batch,NA,NA,37C
SRR10572658,SRS5751712,SRP234382,rRNA,SRP234382,Tzani,T,Tzani,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,,,37,NA,High,Batch,NA,NA,37C
SRR10572657,SRS5751713,SRP234382,rRNA,SRP234382,Tzani,T,Tzani,TRUE,SRA,CHO-K1,TRUE,mAb,TRUE,NA,MidExp,FALSE,,,37,NA,High,Batch,NA,NA,37C
SRR10995631,SRS6086035,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,High,FedBatch,Medium,FALSE,WT_Rituxi_Day4_rep1
SRR10995632,SRS6086035,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,High,FedBatch,Medium,FALSE,WT_Rituxi_Day4_rep1
SRR10995633,SRS6086035,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,High,FedBatch,Medium,FALSE,WT_Rituxi_Day4_rep1
SRR10995634,SRS6086035,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,High,FedBatch,Medium,FALSE,WT_Rituxi_Day4_rep1
SRR10995635,SRS6086037,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,High,FedBatch,Medium,FALSE,WT_Rituxi_Day6_rep1
SRR10995636,SRS6086037,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,High,FedBatch,Medium,FALSE,WT_Rituxi_Day6_rep1
SRR10995637,SRS6086037,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,High,FedBatch,Medium,FALSE,WT_Rituxi_Day6_rep1
SRR10995638,SRS6086037,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,High,FedBatch,Medium,FALSE,WT_Rituxi_Day6_rep1
SRR10995639,SRS6086036,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,High,FALSE,WT_Rituxi_Day8_rep1
SRR10995640,SRS6086036,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,High,FALSE,WT_Rituxi_Day8_rep1
SRR10995641,SRS6086036,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,High,FALSE,WT_Rituxi_Day8_rep1
SRR10995642,SRS6086036,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,High,FALSE,WT_Rituxi_Day8_rep1
SRR10995643,SRS6086038,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,High,FedBatch,Medium,FALSE,WT-Rituxi-Day4_rep2
SRR10995644,SRS6086038,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,High,FedBatch,Medium,FALSE,WT-Rituxi-Day4_rep2
SRR10995645,SRS6086038,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,High,FedBatch,Medium,FALSE,WT-Rituxi-Day4_rep2
SRR10995646,SRS6086038,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,High,FedBatch,Medium,FALSE,WT-Rituxi-Day4_rep2
SRR10995647,SRS6086039,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,High,FedBatch,Medium,FALSE,WT-Rituxi-Day6_rep2
SRR10995648,SRS6086039,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,High,FedBatch,Medium,FALSE,WT-Rituxi-Day6_rep2
SRR10995649,SRS6086039,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,High,FedBatch,Medium,FALSE,WT-Rituxi-Day6_rep2
SRR10995650,SRS6086039,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,High,FedBatch,Medium,FALSE,WT-Rituxi-Day6_rep2
SRR10995651,SRS6086040,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,High,FALSE,WT-Rituxi-Day8_rep2
SRR10995652,SRS6086040,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,High,FALSE,WT-Rituxi-Day8_rep2
SRR10995653,SRS6086040,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,High,FALSE,WT-Rituxi-Day8_rep2
SRR10995654,SRS6086040,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,High,FALSE,WT-Rituxi-Day8_rep2
SRR10995655,SRS6086041,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,Low,FedBatch,Medium,TRUE,6X-Rituxi-Day4_rep1
SRR10995656,SRS6086041,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,Low,FedBatch,Medium,TRUE,6X-Rituxi-Day4_rep1
SRR10995657,SRS6086041,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,Low,FedBatch,Medium,TRUE,6X-Rituxi-Day4_rep1
SRR10995658,SRS6086041,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,Low,FedBatch,Medium,TRUE,6X-Rituxi-Day4_rep1
SRR10995659,SRS6086042,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,Low,FedBatch,Medium,TRUE,6X-Rituxi-Day6_rep1
SRR10995660,SRS6086042,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,Low,FedBatch,Medium,TRUE,6X-Rituxi-Day6_rep1
SRR10995661,SRS6086042,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,Low,FedBatch,Medium,TRUE,6X-Rituxi-Day6_rep1
SRR10995662,SRS6086042,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,Low,FedBatch,Medium,TRUE,6X-Rituxi-Day6_rep1
SRR10995663,SRS6086043,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,High,TRUE,6X-Rituxi-Day8_rep1
SRR10995664,SRS6086043,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,High,TRUE,6X-Rituxi-Day8_rep1
SRR10995665,SRS6086043,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,High,TRUE,6X-Rituxi-Day8_rep1
SRR10995666,SRS6086043,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,High,TRUE,6X-Rituxi-Day8_rep1
SRR10995667,SRS6086044,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,Low,FedBatch,Medium,TRUE,6X-Rituxi-Day4_rep2
SRR10995668,SRS6086044,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,Low,FedBatch,Medium,TRUE,6X-Rituxi-Day4_rep2
SRR10995669,SRS6086044,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,Low,FedBatch,Medium,TRUE,6X-Rituxi-Day4_rep2
SRR10995670,SRS6086044,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,Low,FedBatch,Medium,TRUE,6X-Rituxi-Day4_rep2
SRR10995671,SRS6086045,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,Low,FedBatch,Medium,TRUE,6X-Rituxi-Day6_rep2
SRR10995672,SRS6086045,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,Low,FedBatch,Medium,TRUE,6X-Rituxi-Day6_rep2
SRR10995673,SRS6086045,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,Low,FedBatch,Medium,TRUE,6X-Rituxi-Day6_rep2
SRR10995674,SRS6086045,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,Low,FedBatch,Medium,TRUE,6X-Rituxi-Day6_rep2
SRR10995675,SRS6086046,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,High,TRUE,6X-Rituxi-Day8_rep2
SRR10995676,SRS6086046,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,High,TRUE,6X-Rituxi-Day8_rep2
SRR10995677,SRS6086046,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,High,TRUE,6X-Rituxi-Day8_rep2
SRR10995678,SRS6086046,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,High,TRUE,6X-Rituxi-Day8_rep2
SRR10995679,SRS6086047,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,Medium,FedBatch,Low,TRUE,11X-Rituxi-Day4_rep1
SRR10995680,SRS6086047,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,Medium,FedBatch,Low,TRUE,11X-Rituxi-Day4_rep1
SRR10995681,SRS6086047,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,Medium,FedBatch,Low,TRUE,11X-Rituxi-Day4_rep1
SRR10995682,SRS6086047,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,Medium,FedBatch,Low,TRUE,11X-Rituxi-Day4_rep1
SRR10995683,SRS6086048,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,Medium,FedBatch,Low,TRUE,11X-Rituxi-Day6_rep1
SRR10995684,SRS6086048,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,Medium,FedBatch,Low,TRUE,11X-Rituxi-Day6_rep1
SRR10995685,SRS6086048,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,Medium,FedBatch,Low,TRUE,11X-Rituxi-Day6_rep1
SRR10995686,SRS6086048,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,Medium,FedBatch,Low,TRUE,11X-Rituxi-Day6_rep1
SRR10995687,SRS6086049,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,Low,TRUE,11X-Rituxi-Day8_rep1
SRR10995688,SRS6086049,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,Low,TRUE,11X-Rituxi-Day8_rep1
SRR10995689,SRS6086049,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,Low,TRUE,11X-Rituxi-Day8_rep1
SRR10995690,SRS6086049,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,Low,TRUE,11X-Rituxi-Day8_rep1
SRR10995691,SRS6086050,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,Medium,FedBatch,Low,TRUE,11X-Rituxi-Day4_rep2
SRR10995692,SRS6086050,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,Medium,FedBatch,Low,TRUE,11X-Rituxi-Day4_rep2
SRR10995693,SRS6086050,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,Medium,FedBatch,Low,TRUE,11X-Rituxi-Day4_rep2
SRR10995694,SRS6086050,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,EarlyExp,FALSE,Commercial,Life Technologies,37,Zeocin,Medium,FedBatch,Low,TRUE,11X-Rituxi-Day4_rep2
SRR10995695,SRS6086051,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,Medium,FedBatch,Low,TRUE,11X-Rituxi-Day6_rep2
SRR10995696,SRS6086051,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,Medium,FedBatch,Low,TRUE,11X-Rituxi-Day6_rep2
SRR10995697,SRS6086051,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,Medium,FedBatch,Low,TRUE,11X-Rituxi-Day6_rep2
SRR10995698,SRS6086051,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateExp,FALSE,Commercial,Life Technologies,37,Zeocin,Medium,FedBatch,Low,TRUE,11X-Rituxi-Day6_rep2
SRR10995699,SRS6086052,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,Low,TRUE,11X-Rituxi-Day8_rep2
SRR10995700,SRS6086052,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,Low,TRUE,11X-Rituxi-Day8_rep2
SRR10995701,SRS6086052,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,Low,TRUE,11X-Rituxi-Day8_rep2
SRR10995702,SRS6086052,SRP246348,PolyA,SRP246348,Kol,K,Kol,TRUE,SRA,CHO-S,TRUE,mAb,TRUE,5,LateStat,FALSE,Commercial,Life Technologies,37,Zeocin,NA,FedBatch,Low,TRUE,11X-Rituxi-Day8_rep2
SRR14860925,SRS9236356,SRP324587,PolyA,SRP324587,Barzadd,B,Barzadd,TRUE,SRA,CHO-K1,TRUE,BsAb,TRUE,6,EarlyStat,FALSE,Commercial,CAT-S,35.5,MSX,NA,FedBatch,High,NA,Ab1-agg
SRR14860939,SRS9236356,SRP324587,PolyA,SRP324587,Barzadd,B,Barzadd,TRUE,SRA,CHO-K1,TRUE,BsAb,TRUE,6,EarlyStat,FALSE,Commercial,CAT-S,35.5,MSX,NA,FedBatch,High,NA,Ab1-agg
SRR14860940,SRS9236356,SRP324587,PolyA,SRP324587,Barzadd,B,Barzadd,TRUE,SRA,CHO-K1,TRUE,BsAb,TRUE,6,EarlyStat,FALSE,Commercial,CAT-S,35.5,MSX,NA,FedBatch,High,NA,Ab1-agg
SRR14860926,SRS9236360,SRP324587,PolyA,SRP324587,Barzadd,B,Barzadd,TRUE,SRA,CHO-K1,TRUE,BsAb,TRUE,6,EarlyStat,FALSE,Commercial,CAT-S,35.5,MSX,NA,FedBatch,Medium,NA,Ab1-less
SRR14860927,SRS9236360,SRP324587,PolyA,SRP324587,Barzadd,B,Barzadd,TRUE,SRA,CHO-K1,TRUE,BsAb,TRUE,6,EarlyStat,FALSE,Commercial,CAT-S,35.5,MSX,NA,FedBatch,Medium,NA,Ab1-less
